 year doy hour dst
 2021 40 1 1
 2021 40 2 0
 2021 40 3 -2
 2021 40 4 -5
 2021 40 5 -1
 2021 40 6 -2
 2021 40 7 -5
 2021 40 8 -5
 2021 40 9 -5
 2021 40 10 -3
 2021 40 11 -4
 2021 40 12 -4
 2021 40 13 -3
 2021 40 14 -3
 2021 40 15 -4
 2021 40 16 -5
 2021 40 17 -3
 2021 40 18 -4
 2021 40 19 -3
 2021 40 20 -2
 2021 40 21 -1
 2021 40 22 0
 2021 40 23 0
 2021 41 0 -2
 2021 41 1 -1
 2021 41 2 0
 2021 41 3 2
 2021 41 4 4
 2021 41 5 3
 2021 41 6 3
 2021 41 7 4
 2021 41 8 4
 2021 41 9 7
 2021 41 10 5
 2021 41 11 2
 2021 41 12 0
 2021 41 13 -1
 2021 41 14 -1
 2021 41 15 -1
 2021 41 16 -3
 2021 41 17 -4
 2021 41 18 -4
 2021 41 19 -2
 2021 41 20 -1
 2021 41 21 -1
 2021 41 22 0
 2021 41 23 1
 2021 42 0 1
 2021 42 1 1
 2021 42 2 2
 2021 42 3 2
 2021 42 4 4
 2021 42 5 5
 2021 42 6 6
 2021 42 7 5
 2021 42 8 1
 2021 42 9 -4
 2021 42 10 -4
 2021 42 11 0
 2021 42 12 4
 2021 42 13 5
 2021 42 14 5
 2021 42 15 6
 2021 42 16 8
 2021 42 17 5
 2021 42 18 5
 2021 42 19 5
 2021 42 20 5
 2021 42 21 6
 2021 42 22 6
 2021 42 23 8
 2021 43 0 9
 2021 43 1 9
 2021 43 2 9
 2021 43 3 8
 2021 43 4 7
 2021 43 5 8
 2021 43 6 9
 2021 43 7 10
 2021 43 8 13
 2021 43 9 14
 2021 43 10 15
 2021 43 11 12
 2021 43 12 10
 2021 43 13 10
 2021 43 14 11
 2021 43 15 10
 2021 43 16 11
 2021 43 17 8
 2021 43 18 0
 2021 43 19 -2
 2021 43 20 -5
 2021 43 21 -5
 2021 43 22 -6
 2021 43 23 -4
 2021 44 0 -6
 2021 44 1 2
 2021 44 2 5
 2021 44 3 10
 2021 44 4 6
 2021 44 5 1
 2021 44 6 0
 2021 44 7 2
 2021 44 8 6
 2021 44 9 2
 2021 44 10 -6
 2021 44 11 -13
 2021 44 12 -7
 2021 44 13 -1
 2021 44 14 0
 2021 44 15 -5
 2021 44 16 -9
 2021 44 17 -10
 2021 44 18 -8
 2021 44 19 -6
 2021 44 20 -8
 2021 44 21 -11
 2021 44 22 -18
 2021 44 23 -18
 2021 45 0 -15
 2021 45 1 -12
 2021 45 2 -11
 2021 45 3 -12
 2021 45 4 -12
 2021 45 5 -12
 2021 45 6 -11
 2021 45 7 -12
 2021 45 8 -10
 2021 45 9 -7
 2021 45 10 -3
 2021 45 11 -2
 2021 45 12 -1
 2021 45 13 0
 2021 45 14 -1
 2021 45 15 -1
 2021 45 16 1
 2021 45 17 1
 2021 45 18 1
 2021 45 19 0
 2021 45 20 0
 2021 45 21 -2
 2021 45 22 -5
 2021 45 23 -6
 2021 46 0 -5
 2021 46 1 -4
 2021 46 2 -3
 2021 46 3 -1
 2021 46 4 1
 2021 46 5 1
 2021 46 6 1
 2021 46 7 3
 2021 46 8 7
 2021 46 9 10
 2021 46 10 12
 2021 46 11 12
 2021 46 12 13
 2021 46 13 12
 2021 46 14 9
 2021 46 15 6
 2021 46 16 5
 2021 46 17 6
 2021 46 18 8
 2021 46 19 8
 2021 46 20 14
 2021 46 21 10
 2021 46 22 -5
 2021 46 23 -6
 2021 47 0 -3
 2021 47 1 -1
 2021 47 2 0
 2021 47 3 5
 2021 47 4 -5
 2021 47 5 -14
 2021 47 6 -23
 2021 47 7 -31
 2021 47 8 -33
 2021 47 9 -18
 2021 47 10 -12
 2021 47 11 -7
 2021 47 12 -5
 2021 47 13 -9
 2021 47 14 -13
 2021 47 15 -14
